Outlet,Brand,Products Name,Volume/Weight,Satchet/Units,Price in RM
LOTUS,FAMOUS HOUSE,FAMOUS HOUSE ORANGE JUICE 485ML,0.485,1,3.44
LOTUS,FAMOUS HOUSE,FAMOUS HOUSE GUAVA JUICE 500ML,0.5,1,3.44
LOTUS,FAMOUS HOUSE,FAMOUS HOUSE MIXED FRUIT JUICE 500ML,0.5,1,3.44
LOTUS,FAMOUS HOUSE,FAMOUS HOUSE MANGO JUICE 500ML,0.5,1,3.44
LOTUS,FAMOUS HOUSE,FAMOUS HOUSE PEACH JUICE 500ML,0.5,1,3.44
LOTUS,FAMOUS HOUSE,FAMOUS HOUSE GRAPE JUICE 500ML,0.5,1,3.44
LOTUS,FAMOUS HOUSE,FAMOUS HOUSE BANANA MILK 500ML,0.5,1,3.97
LOTUS,FAMOUS HOUSE,FAMOUS HOUSE MANGO MILK 500ML,0.5,1,3.97
LOTUS,FAMOUS HOUSE,FAMOUS HOUSE PAPAYA MILK 500ML,0.5,1,3.97
LOTUS,FANTA,FANTA ORANGE 1.5L,1.5,1,2.89
LOTUS,FANTA,FANTA S/BERRY 1.5L,1.5,1,2.89
LOTUS,FANTA,FANTA GRAPE 1.5L,1.5,1,2.89
LOTUS,FANTA,FANTA ORANGE 500ML,0.5,1,1.8
LOTUS,FANTA,FANTA STRAWBERRY 500ML,0.5,1,1.8
LOTUS,FARM FRESH,FARM FRESH UHT SOY MILK ORI 1L,1,1,6.5
LOTUS,FARM FRESH,FARM FRESH UHT CHOCOLATE MILK 1L,1,1,6.9
LOTUS,FARM FRESH,FARM FRESH UHT ALMOND MILK 1L,1,1,13
LOTUS,FARM FRESH,FARM FRESH UHT ALMOND UNSWEET 1L,1,1,13
LOTUS,FARM FRESH,FARM FRESH UHT OAT MILK 1L,1,1,13
LOTUS,FARM FRESH,YARRA FULL CREAM MILK UHT 1L,1,1,5.89
